#,stock,link,market,ISIN,profile,detailspresent,withinstudy,covidstudy,industry,subindustry,2019accounts,2021accounts,UsedForENG,YahooFinanceURL,checkvs2021yahoo
216,Fresenius,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE0005785604.html?lang=it,Global Equity Market,DE0005785604,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=DE0005785604&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/FRE.DE?p=FRE.DE&.tsrc=fin-srch,
217,Fresenius Medical Care,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE0005785802.html?lang=it,Global Equity Market,DE0005785802,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=DE0005785802&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/FME.DE?p=FME.DE&.tsrc=fin-srch,
218,Friulchem,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005378457.html?lang=it,Euronext Growth Milan,IT0005378457,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005378457&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/FCM.MI?p=FCM.MI&.tsrc=fin-srch,
219,G Rent,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005445108.html?lang=it,Euronext Growth Milan,IT0005445108,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005445108&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/GSR.MI?p=GSR.MI&.tsrc=fin-srch,
220,G.M. Leather,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005498610.html?lang=it,Euronext Growth Milan,IT0005498610,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005498610&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/GML.MI?p=GML.MI&.tsrc=fin-srch,
221,Gabetti,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005023038.html?lang=it,Euronext Milan,IT0005023038,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005023038&lang=it,Y,,N,Immobiliare,Immobiliare,,,,https://finance.yahoo.com/quote/GAB.MI?p=GAB.MI&.tsrc=fin-srch,
222,Gambero Rosso,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005122392.html?lang=it,Euronext Growth Milan,IT0005122392,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005122392&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/GAMB.MI?p=GAMB.MI&.tsrc=fin-srch,
223,Garofalo Health Care,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005345233.html?lang=it,Euronext STAR Milan,IT0005345233,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005345233&lang=it,Y,,Y,Assistenza sanitaria,Assistenza sanitaria,IT,IT,,https://finance.yahoo.com/quote/GHC.MI?p=GHC.MI&.tsrc=fin-srch,
224,Gas Plus,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004098510.html?lang=it,Euronext Milan,IT0004098510,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004098510&lang=it,Y,,N,Energia,Energia,,,,https://finance.yahoo.com/quote/GSP.MI?p=GSP.MI&.tsrc=fin-srch,
225,Gefran,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003203947.html?lang=it,Euronext STAR Milan,IT0003203947,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0003203947&lang=it,Y,,N,Industria,Beni e servizi industriali,,,,https://finance.yahoo.com/quote/GE.MI?p=GE.MI&.tsrc=fin-srch,
226,Gel,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005312365.html?lang=it,Euronext Growth Milan,IT0005312365,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005312365&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/GEL.MI?p=GEL.MI&.tsrc=fin-srch,
227,Generalfinance,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005144784.html?lang=it,Euronext STAR Milan,IT0005144784,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005144784&lang=it,Y,,Y,na,na,EN,EN,Y,https://finance.yahoo.com/quote/GF.MI?p=GF.MI&.tsrc=fin-srch,bankassfin
228,Generali Ass,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0000062072.html?lang=it,Euronext Milan,IT0000062072,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0000062072&lang=it,Y,,Y,Finanza,Assicurazioni,EN,EN,Y,https://finance.yahoo.com/quote/G.MI?p=G.MI&.tsrc=fin-srch,bankassfin
229,Gentili Mosconi,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005531261.html?lang=it,Euronext Growth Milan,IT0005531261,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005531261&lang=it,Y,NotCoveringPeriod,outofscope,na,na,,,,https://finance.yahoo.com/quote/GM.MI?p=GM.MI&.tsrc=fin-srch,
230,Geox,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003697080.html?lang=it,Euronext Milan,IT0003697080,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0003697080&lang=it,Y,,N,Beni voluttuari,Servizi e prodotti di consumo,,,,https://finance.yahoo.com/quote/GEO.MI?p=GEO.MI&.tsrc=fin-srch,
231,Gequity,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004942915.html?lang=it,Euronext Milan,IT0004942915,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0004942915&lang=it,Y,,N,Finanza,Servizi Finanziari,,,,https://finance.yahoo.com/quote/BES.MI?p=BES.MI&.tsrc=fin-srch,
232,Gibus,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005341059.html?lang=it,Euronext Growth Milan,IT0005341059,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005341059&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/GBUS.MI?p=GBUS.MI&.tsrc=fin-srch,
233,Giglio Group,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005122400.html?lang=it,Euronext Milan,IT0005122400,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005122400&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/GG.MI?p=GG.MI&.tsrc=fin-srch,
234,Giglio.Com,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005453003.html?lang=it,Euronext Growth Milan,IT0005453003,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005453003&lang=it,Y,,Y,Telecomunicazioni,Telecomunicazioni,EN,IT,,https://finance.yahoo.com/quote/GCOM.MI?p=GCOM.MI&.tsrc=fin-srch,
235,Gilead Sciences,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US3755581036.html?lang=it,Global Equity Market,US3755581036,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=US3755581036&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/GILD?p=GILD&.tsrc=fin-srch,
236,Gismondi 1754,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005391138.html?lang=it,Euronext Growth Milan,IT0005391138,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005391138&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/GIS.MI?p=GIS.MI&.tsrc=fin-srch,
237,Go Internet,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005038002.html?lang=it,Euronext Growth Milan,IT0005038002,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005038002&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/GO.MI?p=GO.MI&.tsrc=fin-srch,
238,Gpi,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005221517.html?lang=it,Euronext Milan,IT0005221517,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005221517&lang=it,Y,,Y,Assistenza sanitaria,Assistenza sanitaria,EN,EN,Y,https://finance.yahoo.com/quote/GPI.MI?p=GPI.MI&.tsrc=fin-srch,included
