DOGSUSDC,1777966437.468,2026-05-05 07:33:57.468000, 0.0001,511688.0,511688.0,26923787327.0,1535676.1647055,116.566
DOGSUSDC,1777966437.468,2026-05-05 07:33:57.468000, 0.0001,16794826.0,17306514.0,26923787327.0,1535676.1647055,116.566
DOGSUSDC,1777966437.468,2026-05-05 07:33:57.468000, 0.0001,8819187.0,26125701.0,26923787327.0,1535676.1647055,116.566
DOGSUSDC,1777966438.369,2026-05-05 07:33:58.369000, 0.0001,1631799.0,27757500.0,26949913028.0,1537563.2710676,117.771
DOGSUSDC,1777966439.14,2026-05-05 07:33:59.140000, 0.0001,463106.0,28220606.0,26951544827.0,1537680.5974157,116.566
DOGSUSDC,1777966439.859,2026-05-05 07:33:59.859000, 0.0001,464474.0,28685080.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.573,2026-05-05 07:34:00.573000, 0.0001,641530.0,29326610.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.573,2026-05-05 07:34:00.573000, 0.0001,358470.0,29685080.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.575,2026-05-05 07:34:00.575000, 0.0001,610980.0,30296060.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.575,2026-05-05 07:34:00.575000, 0.0001,610980.0,30907040.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.575,2026-05-05 07:34:00.575000, 0.0001,3788300.0,34695340.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.576,2026-05-05 07:34:00.576000, 0.0001,3793584.0,38488924.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.576,2026-05-05 07:34:00.576000, 0.0001,1505568.0,39994492.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.576,2026-05-05 07:34:00.576000, 0.0001,1505568.0,41500060.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.576,2026-05-05 07:34:00.576000, 0.0001,1505568.0,43005628.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.576,2026-05-05 07:34:00.576000, 0.0001,1505568.0,44511196.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.576,2026-05-05 07:34:00.576000, 0.0001,1505568.0,46016764.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.576,2026-05-05 07:34:00.576000, 0.0001,317305.0,46334069.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.58,2026-05-05 07:34:00.580000, 0.0001,435845.0,46769914.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.582,2026-05-05 07:34:00.582000, 0.0001,38047.0,46807961.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966440.629,2026-05-05 07:34:00.629000, 0.0001,454209.0,47262170.0,26952007933.0,1537713.9410477,116.867
DOGSUSDC,1777966441.265,2026-05-05 07:34:01.265000, 0.0001,19553.0,47281723.0,26971049497.0,1539082.9903265,115.964
DOGSUSDC,1777966441.29,2026-05-05 07:34:01.290000, 0.0001,41899.0,47323622.0,26971049497.0,1539082.9903265,115.964
DOGSUSDC,1777966441.617,2026-05-05 07:34:01.617000, 0.0001,1390303.0,48713925.0,26971049497.0,1539082.9903265,115.964
DOGSUSDC,1777966465.176,2026-05-05 07:34:25.176000, 0.0001,2834658.0,2834658.0,27061178592.0,1545539.5040267,115.06
DOGSUSDC,1777966466.467,2026-05-05 07:34:26.467000, 0.0001,1911122.0,4745780.0,27064013250.0,1545741.3316763,114.458
DOGSUSDC,1777966466.539,2026-05-05 07:34:26.539000, 0.0001,2923427.0,7669207.0,27064013250.0,1545741.3316763,114.458
DOGSUSDC,1777966466.54,2026-05-05 07:34:26.540000, 0.0001,2528633.0,10197840.0,27064013250.0,1545741.3316763,114.458
DOGSUSDC,1777966466.54,2026-05-05 07:34:26.540000, 0.0001,1571502.0,11769342.0,27064013250.0,1545741.3316763,114.458
DOGSUSDC,1777966466.54,2026-05-05 07:34:26.540000, 0.0001,2950378.0,14719720.0,27064013250.0,1545741.3316763,114.458
